	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_188	4014	4073	2830	2890	47.47205352783203	48.18424987792969	-30.05526065826416	-31.081759452819824
Box_189	4014	4073	2890	2950	48.18424987792969	48.88985252380371	-30.062993049621586	-31.092588424682614
Box_190	4014	4073	2951	3010	48.88985252380371	49.58894538879394	-30.07157230377197	-31.104512214660645
Box_191	4014	4073	3011	3070	49.58894538879394	50.28161811828613	-30.08107089996338	-31.117613792419434
Box_192	4014	4073	3071	3131	50.28161811828613	50.96796798706055	-30.091565132141113	-31.131979942321774
Box_193	4014	4074	3131	3191	50.96796798706055	51.64809036254883	-30.10313606262207	-31.147705078125
Box_194	4014	4074	3191	3251	51.64809036254883	52.32208824157715	-30.115870475769047	-31.16488742828369
Box_195	4014	4074	3251	3311	52.32208824157715	52.99007034301758	-30.12985801696777	-31.183629989624023
Box_196	4014	4074	3311	3371	52.99007034301758	53.65214538574219	-30.1451997756958	-31.204047203063965
Box_197	4014	4074	3371	3431	53.65214538574219	54.30842781066895	-30.16200065612793	-31.226256370544434
Box_198	4015	4074	3431	3492	54.30842781066895	54.95903396606445	-30.180371284484863	-31.25038242340088
Box_199	4014	4074	3491	3552	54.95903396606445	55.60408401489258	-30.20042991638184	-31.27656078338623
Box_200	4074	4133	2350	2409	41.53207969665527	42.299787521362305	-29.007265090942383	-30.01672649383545
Box_201	4074	4133	2410	2469	42.299787521362305	43.060455322265625	-29.008779525756836	-30.019760131835938
Box_202	4074	4133	2470	2529	43.060455322265625	43.814117431640625	-29.010544776916504	-30.02321147918701
Box_203	4074	4133	2530	2590	43.814117431640625	44.56081962585449	-29.012593269348145	-30.027121543884277
Box_204	4074	4133	2590	2650	44.56081962585449	45.300615310668945	-29.01495933532715	-30.03153705596924
Box_205	4074	4133	2650	2710	45.300615310668945	46.033559799194336	-29.017683029174805	-30.036505699157715
Box_206	4074	4133	2710	2770	46.033559799194336	46.75971794128418	-29.02080249786377	-30.042078971862793
Box_207	4074	4133	2771	2830	46.75971794128418	47.47915840148926	-29.02436351776123	-30.04831027984619
Box_208	4074	4133	2831	2890	47.47915840148926	48.19195747375488	-29.02841567993164	-30.05526065826416
Box_209	4074	4133	2891	2950	48.19195747375488	48.898193359375	-29.033008575439453	-30.062993049621582
Box_210	4074	4133	2951	3010	48.898193359375	49.59794998168945	-29.038198471069336	-30.071572303771973
Box_211	4074	4133	3011	3071	49.59794998168945	50.29132080078125	-29.04404640197754	-30.08107089996338
Box_212	4074	4133	3071	3131	50.29132080078125	50.97840118408203	-29.050615310668945	-30.091565132141113
Box_213	4074	4133	3131	3191	50.97840118408203	51.65928840637207	-29.057973861694336	-30.10313606262207
Box_214	4074	4133	3191	3251	51.65928840637207	52.33408546447754	-29.066198348999023	-30.115870475769043
Box_215	4074	4133	3251	3311	52.33408546447754	53.00290298461914	-29.07536506652832	-30.129858016967773
Box_216	4074	4134	3311	3371	53.00290298461914	53.66585159301758	-29.08556079864502	-30.1451997756958
Box_217	4074	4134	3372	3432	53.66585159301758	54.32304382324219	-29.09687614440918	-30.16200065612793
Box_218	4074	4134	3432	3492	54.32304382324219	54.9745979309082	-29.109407424926758	-30.180371284484863
Box_219	4074	4134	3492	3552	54.9745979309082	55.620635986328125	-29.123258590698242	-30.200429916381836
Box_220	4134	4193	2350	2409	41.5343074798584	42.302289962768555	-27.997695922851562	-29.007265090942383
Box_221	4134	4193	2410	2469	42.302289962768555	43.06325149536133	-27.997673988342285	-29.008779525756836
Box_222	4134	4193	2470	2530	43.06325149536133	43.81723213195801	-27.99773406982422	-29.010544776916504
Box_223	4134	4193	2530	2590	43.81723213195801	44.56427574157715	-27.997900009155273	-29.012593269348145
Box_224	4134	4193	2591	2650	44.56427574157715	45.30443572998047	-27.998193740844727	-29.01495933532715
Box_225	4134	4193	2651	2710	45.30443572998047	46.037771224975586	-27.998645782470703	-29.017683029174805
Box_226	4134	4193	2711	2770	46.037771224975586	46.764347076416016	-27.999284744262695	-29.02080249786377
Box_227	4134	4193	2771	2830	46.764347076416016	47.48423194885254	-28.000144958496094	-29.02436351776123
